participant_id,session_id,set_id,image_id,version,source,n_points,n_on_image,n_off_image,archivo
Mariana,exp_Mariana_20260603_181508,set_016,ADE_00008672,original,ADE,129,129,0,Mariana\ADE_00008672__original.json
Mariana,exp_Mariana_20260603_181508,set_016,ADE_00008672,semantic_aware,ADE,294,278,16,Mariana\ADE_00008672__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_016,ADE_00008672,semantic_agnostic,ADE,234,224,10,Mariana\ADE_00008672__semantic_agnostic.json
Mariana,exp_Mariana_20260603_181508,set_008,ADE_00004113,semantic_aware,ADE,337,316,21,Mariana\ADE_00004113__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_008,ADE_00004113,original,ADE,187,175,12,Mariana\ADE_00004113__original.json
Mariana,exp_Mariana_20260603_181508,set_008,ADE_00004113,pix2pix_magicbrush,ADE,108,106,2,Mariana\ADE_00004113__pix2pix_magicbrush.json
Mariana,exp_Mariana_20260603_181508,set_008,ADE_00004113,semantic_agnostic,ADE,104,104,0,Mariana\ADE_00004113__semantic_agnostic.json
Mariana,exp_Mariana_20260603_181508,set_068,COCO_000000545849,original,COCO,250,197,53,Mariana\COCO_000000545849__original.json
Mariana,exp_Mariana_20260603_181508,set_068,COCO_000000545849,pix2pix_magicbrush,COCO,27,27,0,Mariana\COCO_000000545849__pix2pix_magicbrush.json
Mariana,exp_Mariana_20260603_181508,set_068,COCO_000000545849,semantic_aware,COCO,26,25,1,Mariana\COCO_000000545849__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_068,COCO_000000545849,semantic_agnostic,COCO,72,72,0,Mariana\COCO_000000545849__semantic_agnostic.json
Mariana,exp_Mariana_20260603_181508,set_031,ADE_00017634,original,ADE,295,235,60,Mariana\ADE_00017634__original.json
Mariana,exp_Mariana_20260603_181508,set_031,ADE_00017634,semantic_agnostic,ADE,250,244,6,Mariana\ADE_00017634__semantic_agnostic.json
Mariana,exp_Mariana_20260603_181508,set_031,ADE_00017634,pix2pix_magicbrush,ADE,60,60,0,Mariana\ADE_00017634__pix2pix_magicbrush.json
Mariana,exp_Mariana_20260603_181508,set_031,ADE_00017634,semantic_aware,ADE,79,79,0,Mariana\ADE_00017634__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_071,LHQ_0000046,pix2pix_magicbrush,LHQ,64,64,0,Mariana\LHQ_0000046__pix2pix_magicbrush.json
Mariana,exp_Mariana_20260603_181508,set_071,LHQ_0000046,semantic_agnostic,LHQ,43,42,1,Mariana\LHQ_0000046__semantic_agnostic.json
Mariana,exp_Mariana_20260603_181508,set_071,LHQ_0000046,original,LHQ,108,95,13,Mariana\LHQ_0000046__original.json
Mariana,exp_Mariana_20260603_181508,set_071,LHQ_0000046,semantic_aware,LHQ,183,169,14,Mariana\LHQ_0000046__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_053,COCO_000000201770,pix2pix_magicbrush,COCO,64,64,0,Mariana\COCO_000000201770__pix2pix_magicbrush.json
Mariana,exp_Mariana_20260603_181508,set_053,COCO_000000201770,semantic_agnostic,COCO,58,58,0,Mariana\COCO_000000201770__semantic_agnostic.json
Mariana,exp_Mariana_20260603_181508,set_053,COCO_000000201770,semantic_aware,COCO,29,27,2,Mariana\COCO_000000201770__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_053,COCO_000000201770,original,COCO,51,51,0,Mariana\COCO_000000201770__original.json
Mariana,exp_Mariana_20260603_181508,set_094,LHQ_0075457,pix2pix_magicbrush,LHQ,30,30,0,Mariana\LHQ_0075457__pix2pix_magicbrush.json
Mariana,exp_Mariana_20260603_181508,set_094,LHQ_0075457,semantic_agnostic,LHQ,305,170,135,Mariana\LHQ_0075457__semantic_agnostic.json
Mariana,exp_Mariana_20260603_181508,set_094,LHQ_0075457,semantic_aware,LHQ,33,32,1,Mariana\LHQ_0075457__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_094,LHQ_0075457,original,LHQ,19,19,0,Mariana\LHQ_0075457__original.json
Mariana,exp_Mariana_20260603_181508,set_069,COCO_000000567093,pix2pix_magicbrush,COCO,137,100,37,Mariana\COCO_000000567093__pix2pix_magicbrush.json
Mariana,exp_Mariana_20260603_181508,set_069,COCO_000000567093,original,COCO,52,46,6,Mariana\COCO_000000567093__original.json
Mariana,exp_Mariana_20260603_181508,set_069,COCO_000000567093,semantic_aware,COCO,16,16,0,Mariana\COCO_000000567093__semantic_aware.json
Mariana,exp_Mariana_20260603_181508,set_069,COCO_000000567093,semantic_agnostic,COCO,41,41,0,Mariana\COCO_000000567093__semantic_agnostic.json
Mitsuo,exp_Mitsuo_20260603_173803,set_054,COCO_000000226383,original,COCO,51,37,14,Mitsuo\COCO_000000226383__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_100,LHQ_0086923,original,LHQ,9,9,0,Mitsuo\LHQ_0086923__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_008,ADE_00004113,original,ADE,7,7,0,Mitsuo\ADE_00004113__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_016,ADE_00008672,original,ADE,37,37,0,Mitsuo\ADE_00008672__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_016,ADE_00008672,semantic_aware,ADE,79,79,0,Mitsuo\ADE_00008672__semantic_aware.json
Mitsuo,exp_Mitsuo_20260603_173803,set_068,COCO_000000545849,original,COCO,5,5,0,Mitsuo\COCO_000000545849__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_094,LHQ_0075457,original,LHQ,11,11,0,Mitsuo\LHQ_0075457__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_053,COCO_000000201770,original,COCO,97,93,4,Mitsuo\COCO_000000201770__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_053,COCO_000000201770,semantic_aware,COCO,14,14,0,Mitsuo\COCO_000000201770__semantic_aware.json
Mitsuo,exp_Mitsuo_20260603_173803,set_053,COCO_000000201770,semantic_agnostic,COCO,28,26,2,Mitsuo\COCO_000000201770__semantic_agnostic.json
Mitsuo,exp_Mitsuo_20260603_173803,set_069,COCO_000000567093,semantic_aware,COCO,41,35,6,Mitsuo\COCO_000000567093__semantic_aware.json
Mitsuo,exp_Mitsuo_20260603_173803,set_069,COCO_000000567093,original,COCO,36,36,0,Mitsuo\COCO_000000567093__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_071,LHQ_0000046,semantic_agnostic,LHQ,126,125,1,Mitsuo\LHQ_0000046__semantic_agnostic.json
Mitsuo,exp_Mitsuo_20260603_173803,set_071,LHQ_0000046,original,LHQ,140,138,2,Mitsuo\LHQ_0000046__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_031,ADE_00017634,original,ADE,18,17,1,Mitsuo\ADE_00017634__original.json
Mitsuo,exp_Mitsuo_20260603_173803,set_031,ADE_00017634,semantic_agnostic,ADE,22,21,1,Mitsuo\ADE_00017634__semantic_agnostic.json
